                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5109,                 4.2142,                 2.3321,                0.00977,                 0.0866,                0.02116,                0.01248,                 2.7308,                 3.8093,                 2.2427,              4.998e-05,              4.998e-05,              4.998e-05
                      1,                 2.3415,                 4.1289,                 2.1956,                0.02664,                0.13344,                0.03441,                0.01568,                 2.5886,                 3.8972,                 2.2183,             0.00010615,             0.00010615,             0.00010615
                      2,                 2.3465,                 4.0162,                 2.1015,                0.03052,                0.24647,                0.04408,                0.01706,                 2.3889,                 3.9382,                 2.2241,                0.00016,                0.00016,                0.00016
                      3,                 2.2947,                 3.9369,                 2.0521,                0.01621,                0.18524,                0.03517,                0.00938,                 2.3986,                 3.9234,                 2.2025,             0.00021155,             0.00021155,             0.00021155
                      4,                 2.3034,                 3.7521,                 2.0633,                0.00977,                0.17504,                0.04056,                0.01704,                 2.3981,                  3.797,                 2.2057,             0.00026079,             0.00026079,             0.00026079
                      5,                   2.23,                 3.5179,                 1.9383,                0.00813,                0.15385,                0.03177,                0.01451,                  2.225,                 3.6443,                 2.1162,             0.00030772,             0.00030772,             0.00030772
                      6,                 2.2082,                 3.3254,                 1.9625,                0.00889,                0.24437,                 0.0513,                0.01547,                 2.2776,                 3.4474,                 2.0911,             0.00035234,             0.00035234,             0.00035234
                      7,                 2.1602,                 3.1939,                 1.9735,                0.00896,                0.28257,                0.03847,                0.01319,                 2.3094,                 3.3704,                 2.1177,             0.00039465,             0.00039465,             0.00039465
                      8,                 2.2159,                 3.1408,                 2.0155,                0.60984,                 0.0781,                0.06018,                0.02166,                 2.4687,                 3.2881,                 2.2802,             0.00043465,             0.00043465,             0.00043465
                      9,                 2.1408,                 3.0075,                 1.9657,                0.89634,                0.06803,                0.06706,                0.02159,                 2.4009,                 3.3187,                 2.3443,             0.00047235,             0.00047235,             0.00047235
                     10,                 2.1291,                    2.9,                 1.9484,                0.93505,                0.04762,                0.07289,                0.02374,                 2.3213,                 3.2686,                 2.3468,             0.00050773,             0.00050773,             0.00050773
                     11,                 2.1309,                 2.8535,                 1.9653,                0.92449,                0.05442,                0.08357,                0.03085,                 2.3545,                 3.3011,                 2.3126,             0.00054081,             0.00054081,             0.00054081
                     12,                 2.1325,                 2.7694,                 1.9283,                0.52385,                0.05861,                0.07783,                0.02709,                 2.4582,                 3.4911,                 2.3452,             0.00057157,             0.00057157,             0.00057157
                     13,                  2.131,                 2.7699,                 1.9311,                0.24507,                0.09432,                0.06358,                 0.0201,                 2.4858,                 3.7325,                 2.4097,             0.00060003,             0.00060003,             0.00060003
                     14,                 2.0715,                 2.6801,                 1.9229,                0.03849,                0.25314,                0.04665,                0.01745,                  2.357,                 3.8578,                 2.3505,             0.00060209,             0.00060209,             0.00060209
                     15,                 2.1023,                 2.7423,                 1.9445,                 0.0863,                0.12407,                 0.0679,                0.02089,                 2.2778,                 3.3947,                 2.2891,             0.00060209,             0.00060209,             0.00060209
                     16,                 2.0554,                 2.6015,                 1.9057,                0.05479,                0.12062,                0.06547,                0.02208,                 2.2661,                 3.3092,                 2.2624,              0.0005856,              0.0005856,              0.0005856
                     17,                 2.0696,                 2.5472,                 1.9109,                0.11745,                0.16911,                0.10216,                0.02981,                 2.3218,                 3.1835,                 2.3035,             0.00056911,             0.00056911,             0.00056911
                     18,                 2.0225,                 2.5457,                 1.9005,                0.12786,                 0.1842,                0.08787,                0.03155,                 2.5128,                 3.2976,                 2.3707,             0.00055261,             0.00055261,             0.00055261
                     19,                 2.0356,                 2.4595,                 1.8725,                 0.1303,                0.13488,                0.09211,                0.03259,                 2.3824,                 3.3013,                 2.3079,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.9905,                 2.4124,                 1.8357,                0.13092,                0.14351,                0.09134,                0.03143,                 2.4594,                 3.2392,                 2.3506,             0.00051963,             0.00051963,             0.00051963
                     21,                  1.973,                 2.3867,                 1.8549,                0.17872,                0.16028,                0.12709,                0.04329,                 2.3289,                  3.061,                  2.249,             0.00050313,             0.00050313,             0.00050313
                     22,                 1.9872,                 2.4215,                 1.8431,                0.14547,                0.16039,                0.12142,                0.04522,                 2.2494,                 2.8866,                 2.1633,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.9955,                 2.3809,                 1.8545,                0.09306,                0.15515,                0.12295,                0.03812,                 2.3148,                 2.8388,                 2.1507,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.9553,                 2.3728,                 1.8298,                0.44357,                0.15175,                0.13923,                0.04704,                 2.2515,                 2.7107,                 2.1249,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.9209,                  2.353,                  1.832,                0.32288,                0.16954,                0.17973,                0.05998,                 2.2029,                 2.7483,                  2.088,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.8749,                 2.2641,                 1.7952,                0.61419,                 0.1832,                0.15835,                0.05235,                  2.266,                 2.8554,                 2.1098,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.8602,                 2.2487,                 1.7682,                0.46746,                0.16981,                0.15529,                0.05541,                 2.3502,                 2.8786,                 2.1407,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.8954,                 2.2625,                 1.7975,                0.45096,                  0.163,                0.13438,                0.04534,                 2.3237,                 2.8736,                 2.1309,             0.00038768,             0.00038768,             0.00038768
                     29,                 1.8416,                 2.2246,                 1.7702,                0.42656,                0.20455,                0.12175,                0.04021,                 2.3018,                 2.8728,                 2.1008,             0.00037118,             0.00037118,             0.00037118
                     30,                 1.8196,                 2.2445,                 1.7613,                0.28607,                0.22247,                0.11598,                0.03692,                 2.3461,                  2.857,                 2.1474,             0.00035469,             0.00035469,             0.00035469
                     31,                    1.9,                 2.1802,                 1.7394,                0.23711,                0.17478,                0.10787,                0.03422,                 2.3883,                   2.95,                 2.2123,              0.0003382,              0.0003382,              0.0003382
                     32,                  1.857,                 2.1966,                 1.7446,                0.22457,                0.17159,                0.10496,                0.03897,                 2.3454,                  2.954,                 2.1916,              0.0003217,              0.0003217,              0.0003217
                     33,                 1.7947,                 2.1244,                 1.7094,                0.40072,                 0.1893,                0.08919,                0.03442,                 2.3347,                 2.9936,                 2.2267,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.8246,                 2.1827,                 1.7416,                0.28419,                 0.1511,                 0.1152,                0.04877,                  2.391,                 3.0072,                  2.282,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.7845,                 2.1109,                 1.7246,                0.10958,                0.20212,                0.11605,                0.04056,                 2.3388,                 2.8927,                 2.2075,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.7324,                 2.0507,                 1.6818,                0.12738,                 0.2224,                0.11786,                0.04228,                  2.385,                 2.8788,                 2.2049,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.7291,                 2.0274,                 1.6595,                0.14984,                0.25131,                0.12738,                0.04254,                 2.3547,                 2.8466,                  2.174,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.7466,                 2.0604,                 1.6629,                0.14732,                0.24599,                0.14899,                0.04887,                 2.3215,                 2.8008,                  2.143,             0.00022274,             0.00022274,             0.00022274
                     39,                   1.74,                 2.0383,                 1.6594,                0.16168,                 0.2067,                 0.1482,                0.05131,                 2.2878,                 2.8098,                 2.1401,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.9243,                 2.4506,                 1.8062,                 0.1711,                0.25471,                0.15477,                0.05641,                 2.2697,                 2.8129,                 2.1418,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.8696,                 2.3115,                 1.7807,                0.31891,                0.14194,                0.16299,                0.05669,                 2.2916,                 2.9103,                 2.1871,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.8289,                 2.2569,                 1.7484,                0.30563,                0.15252,                0.13684,                0.04563,                 2.3398,                 2.9875,                  2.249,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.8263,                 2.2375,                 1.7636,                0.29823,                0.15372,                0.13151,                0.04414,                 2.3539,                 2.9063,                 2.2847,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.7481,                 2.2293,                 1.7134,                0.13047,                0.19553,                0.13016,                0.04274,                 2.3264,                 2.8691,                 2.2865,             0.00012378,             0.00012378,             0.00012378
                     45,                 1.7225,                 2.1295,                 1.7174,                0.13046,                 0.1825,                0.11846,                0.04073,                 2.3186,                  2.822,                 2.2689,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.7344,                 2.1565,                  1.707,                0.12712,                0.19425,                0.11831,                0.04012,                 2.2824,                  2.837,                 2.2292,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 1.7024,                 2.1415,                 1.7183,                0.13642,                0.21786,                0.12839,                0.04125,                 2.2764,                 2.8666,                 2.1856,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.7104,                 2.1216,                 1.6998,                0.12825,                0.22015,                 0.1275,                0.04158,                  2.276,                 2.8342,                 2.1709,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.6829,                 2.0616,                 1.6827,                0.13757,                0.23022,                0.13806,                0.04634,                 2.2529,                 2.8619,                 2.1658,             4.1317e-05,             4.1317e-05,             4.1317e-05
